"hgnc_symbol","ensembl_gene_id","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1/2-SBSRNA4",.,.,45.6520398838297,-0.0459530807444898,0.298307965636635,-0.154045771611961,0.877573645751931,0.930901554035368
"A1BG","ENSG00000121410","alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]",61.0931017446029,-0.469530593375707,0.259973984103871,-1.80606761478144,0.0709077786913598,0.162553231481329
"A1BG-AS1","ENSG00000268895","A1BG antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:37133]",175.665806942797,-0.0357171311913219,0.151235151933608,-0.236169506458404,0.813301140607643,0.892144780094637
"A1CF","ENSG00000148584","APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]",0.237691930820274,1.31531242043588,3.90547731807847,0.336786598234048,0.736277776558432,.
"A2LD1",.,.,89.6179845194553,0.219941504648199,0.216902927866408,1.01400892469125,0.310578493747205,0.478401345505831
"A2M","ENSG00000175899","alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]",5.86008405881564,0.10499012658481,0.745521271630633,0.140827808112264,0.888005974289951,0.937410246982998
"A2ML1","ENSG00000166535","alpha-2-macroglobulin like 1 [Source:HGNC Symbol;Acc:HGNC:23336]",2.42405528351702,0.976008431096004,1.39437881244242,0.699959309756298,0.483952716185332,.
"A2MP1","ENSG00000256069","alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]",1.32032366583202,-2.85739665839895,2.13005706137234,-1.3414648415841,0.179769577381831,.
"A4GALT","ENSG00000128274","alpha 1,4-galactosyltransferase (P blood group) [Source:HGNC Symbol;Acc:HGNC:18149]",64.5409534041046,-0.385660631315649,0.266681618131303,-1.44614628491479,0.148136176018158,0.282281814131989
"A4GNT","ENSG00000118017","alpha-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:17968]",0.191278119184428,-0.377200628225187,4.56207696005969,-0.0826817766397899,0.934104575385529,.
"AAA1",.,.,0.104027249105564,-0.377200628225187,4.56207696005969,-0.0826817766397899,0.934104575385529,.
"AAAS","ENSG00000094914","aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]",1453.66728380191,-0.0166839670130728,0.0750758892114686,-0.222228030707415,0.824136374275075,0.899015778032409
